Titulo,URL_Original,Arquivo_MD
Engenharia_de_Aquicultura,https://wiki.foz.ifpr.edu.br/wiki/index.php/Engenharia_de_Aquicultura,pages\Engenharia_de_Aquicultura.md
Enlaces_ponto_a_ponto,https://wiki.foz.ifpr.edu.br/wiki/index.php/Enlaces_ponto_a_ponto,pages\Enlaces_ponto_a_ponto.md
Ensino_Pesquisa_Extensao,https://wiki.foz.ifpr.edu.br/wiki/index.php/Ensino_Pesquisa_Extensao,pages\Ensino_Pesquisa_Extensao.md
Ensino_e_Aprendizagem_de_Astronomia,https://wiki.foz.ifpr.edu.br/wiki/index.php/Ensino_e_Aprendizagem_de_Astronomia,pages\Ensino_e_Aprendizagem_de_Astronomia.md
Envio_de_arquivo_pela_internet_com_a_ferramenta_DROPBOX,https://wiki.foz.ifpr.edu.br/wiki/index.php/Envio_de_arquivo_pela_internet_com_a_ferramenta_DROPBOX,pages\Envio_de_arquivo_pela_internet_com_a_ferramenta_DROPBOX.md
"Erica,_Mariane,_Josiane","https://wiki.foz.ifpr.edu.br/wiki/index.php/Erica,_Mariane,_Josiane","pages\Erica,_Mariane,_Josiane.md"
Escalador,https://wiki.foz.ifpr.edu.br/wiki/index.php/Escalador,pages\Escalador.md
Espaço_Esportivo,https://wiki.foz.ifpr.edu.br/wiki/index.php/Espa%C3%A7o_Esportivo,pages\Espaço_Esportivo.md
Especializacao_em_Internet_das_Coisas_-_Curriculo_Turma_2021,https://wiki.foz.ifpr.edu.br/wiki/index.php/Especializacao_em_Internet_das_Coisas_-_Curriculo_Turma_2021,pages\Especializacao_em_Internet_das_Coisas_-_Curriculo_Turma_2021.md
Especializacao_em_Internet_das_Coisas_-_Curriculo_Turma_2023,https://wiki.foz.ifpr.edu.br/wiki/index.php/Especializacao_em_Internet_das_Coisas_-_Curriculo_Turma_2023,pages\Especializacao_em_Internet_das_Coisas_-_Curriculo_Turma_2023.md
Especializacao_em_Internet_das_Coisas_-_TCCs_Turma_2021,https://wiki.foz.ifpr.edu.br/wiki/index.php/Especializacao_em_Internet_das_Coisas_-_TCCs_Turma_2021,pages\Especializacao_em_Internet_das_Coisas_-_TCCs_Turma_2021.md
Especializacao_em_Internet_das_Coisas_-_TCCs_Turma_2023,https://wiki.foz.ifpr.edu.br/wiki/index.php/Especializacao_em_Internet_das_Coisas_-_TCCs_Turma_2023,pages\Especializacao_em_Internet_das_Coisas_-_TCCs_Turma_2023.md
Estacao_Meteorologica,https://wiki.foz.ifpr.edu.br/wiki/index.php/Estacao_Meteorologica,pages\Estacao_Meteorologica.md
